teamA,teamB,scoreA,scoreB,date
Vikings Esports,Team Whales,2,1,2024-03-10
Team Secret,Rainbow Warriors,2,0,2024-03-10
Team Flash,MGN Blue Esports,2,1,2024-03-09
GAM Esports,Cerberus Esports,1,2,2024-03-09
MGN Blue Esports,Team Secret,2,1,2024-03-08
Team Flash,Rainbow Warriors,2,0,2024-03-08
Team Whales,Cerberus Esports,2,0,2024-03-07
GAM Esports,Vikings Esports,2,0,2024-03-07
Team Whales,Team Secret,0,2,2024-03-03
Rainbow Warriors,Cerberus Esports,0,2,2024-03-03
Team Flash,GAM Esports,1,2,2024-03-02
Vikings Esports,MGN Blue Esports,2,0,2024-03-02
Team Whales,Rainbow Warriors,2,0,2024-03-01
Cerberus Esports,Team Secret,0,2,2024-03-01
MGN Blue Esports,GAM Esports,2,1,2024-02-29
Team Flash,Vikings Esports,0,2,2024-02-29
Cerberus Esports,Team Flash,2,0,2024-02-25
GAM Esports,Team Whales,2,0,2024-02-25
Vikings Esports,Team Secret,0,2,2024-02-24
MGN Blue Esports,Rainbow Warriors,2,0,2024-02-24
Team Flash,Team Whales,1,2,2024-02-23
Team Secret,GAM Esports,2,0,2024-02-23
MGN Blue Esports,Cerberus Esports,0,2,2024-02-22
Rainbow Warriors,Vikings Esports,0,2,2024-02-22
Team Flash,Team Secret,1,2,2024-02-18
Cerberus Esports,Vikings Esports,0,2,2024-02-18
Team Whales,MGN Blue Esports,2,0,2024-02-17
Rainbow Warriors,GAM Esports,0,2,2024-02-17
Rainbow Warriors,Team Flash,0,2,2024-02-04
MGN Blue Esports,Team Secret,0,2,2024-02-04
GAM Esports,Vikings Esports,2,0,2024-02-03
Cerberus Esports,Team Whales,0,2,2024-02-03
Team Secret,Rainbow Warriors,2,0,2024-02-02
MGN Blue Esports,Team Flash,2,1,2024-02-02
GAM Esports,Cerberus Esports,2,0,2024-02-01
Vikings Esports,Team Whales,0,2,2024-02-01
MGN Blue Esports,Vikings Esports,0,2,2024-01-28
Team Flash,GAM Esports,0,2,2024-01-28
Cerberus Esports,Rainbow Warriors,2,0,2024-01-27
Team Whales,Team Secret,2,1,2024-01-27
Team Flash,Vikings Esports,0,2,2024-01-26
MGN Blue Esports,GAM Esports,0,2,2024-01-26
Cerberus Esports,Team Secret,0,2,2024-01-25
Rainbow Warriors,Team Whales,0,2,2024-01-25
Team Whales,GAM Esports,0,2,2024-01-21
Team Flash,Cerberus Esports,2,0,2024-01-21
MGN Blue Esports,Rainbow Warriors,2,0,2024-01-20
Team Secret,Vikings Esports,2,0,2024-01-20
