teamA,teamB,scoreA,scoreB,date
GAM Esports,Team Secret,2,0,2023-08-06
Team Whales,Cerberus Esports,1,2,2023-08-06
Cerberus Esports,GAM Esports,2,1,2023-08-05
Team Flash,MGN Box Esports,1,2,2023-08-05
Saigon Buffalo,GAM Esports,0,2,2023-08-04
Cerberus Esports,MGN Box Esports,2,1,2023-08-04
Team Whales,Team Flash,1,2,2023-08-04
Team Secret,Team Flash,2,0,2023-07-30
GAM Esports,Team Whales,2,0,2023-07-30
Team Secret,Cerberus Esports,1,2,2023-07-29
Team Flash,Saigon Buffalo,1,2,2023-07-29
GAM Esports,MGN Box Esports,2,0,2023-07-28
Saigon Buffalo,Cerberus Esports,2,0,2023-07-28
Team Secret,Team Whales,2,1,2023-07-23
MGN Box Esports,Saigon Buffalo,0,2,2023-07-23
GAM Esports,Team Flash,2,1,2023-07-22
Team Whales,MGN Box Esports,2,0,2023-07-22
Saigon Buffalo,Team Secret,2,0,2023-07-21
Cerberus Esports,Team Flash,2,0,2023-07-21
Team Whales,Saigon Buffalo,2,0,2023-07-16
MGN Box Esports,Team Secret,0,2,2023-07-16
MGN Box Esports,Cerberus Esports,1,2,2023-07-15
Team Secret,GAM Esports,0,2,2023-07-15
GAM Esports,Cerberus Esports,2,0,2023-07-14
Team Flash,Team Whales,1,2,2023-07-14
GAM Esports,Saigon Buffalo,2,0,2023-07-09
MGN Box Esports,Team Flash,0,2,2023-07-09
Cerberus Esports,Team Whales,0,2,2023-07-08
Saigon Buffalo,Team Flash,2,0,2023-07-08
Team Whales,GAM Esports,2,1,2023-07-07
Cerberus Esports,Team Secret,2,0,2023-07-06
Cerberus Esports,Saigon Buffalo,0,2,2023-07-02
MGN Box Esports,GAM Esports,1,2,2023-07-01
Team Flash,Team Secret,0,2,2023-07-01
Team Whales,Team Secret,2,0,2023-06-30
Saigon Buffalo,MGN Box Esports,2,1,2023-06-29
Team Flash,GAM Esports,2,0,2023-06-29
GAM Esports,SBTC Esports,2,0,2023-06-25
MGN Box Esports,Team Whales,1,2,2023-06-25
Team Secret,Saigon Buffalo,2,0,2023-06-24
Team Flash,Cerberus Esports,2,0,2023-06-24
Saigon Buffalo,Team Whales,1,2,2023-06-23
Team Secret,MGN Box Esports,2,0,2023-06-23
